Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,27.84749984741211,27.860000610351562,26.837499618530273,27.332500457763672,24.466449737548828,212818400
2015-01-05,27.072500228881836,27.162500381469727,26.352500915527344,26.5625,23.777191162109375,257142000
2015-01-06,26.635000228881836,26.857500076293945,26.157499313354492,26.565000534057617,23.77942657470703,263188400
2015-01-07,26.799999237060547,27.049999237060547,26.674999237060547,26.9375,24.112873077392578,160423600
2015-01-08,27.3075008392334,28.037500381469727,27.174999237060547,27.97249984741211,25.039337158203125,237458000
2015-01-09,28.167499542236328,28.3125,27.552499771118164,28.002500534057617,25.066200256347656,214798000
2015-01-12,28.149999618530273,28.157499313354492,27.200000762939453,27.3125,24.44854164123535,198603200
2015-01-13,27.857500076293945,28.200000762939453,27.227500915527344,27.55500030517578,24.665616989135742,268367600
2015-01-14,27.260000228881836,27.622499465942383,27.125,27.450000762939453,24.571626663208008,195826400
2015-01-15,27.5,27.514999389648438,26.665000915527344,26.704999923706055,23.904752731323242,240056000
2015-01-16,26.75749969482422,26.895000457763672,26.299999237060547,26.497499465942383,23.71900177001953,314053200
2015-01-20,26.959999084472656,27.24250030517578,26.625,27.18000030517578,24.32994270324707,199599600
2015-01-21,27.237499237060547,27.764999389648438,27.0674991607666,27.387500762939453,24.515684127807617,194303600
2015-01-22,27.565000534057617,28.11750030517578,27.43000030517578,28.100000381469727,25.15346908569336,215185600
2015-01-23,28.075000762939453,28.4375,27.88249969482422,28.2450008392334,25.283267974853516,185859200
2015-01-26,28.434999465942383,28.59000015258789,28.200000762939453,28.274999618530273,25.310117721557617,222460000
2015-01-27,28.104999542236328,28.1200008392334,27.25749969482422,27.28499984741211,24.423931121826172,382274800
2015-01-28,29.407499313354492,29.530000686645508,28.827499389648438,28.827499389648438,25.804685592651367,585908400
2015-01-29,29.079999923706055,29.797500610351562,28.889999389648438,29.725000381469727,26.60807228088379,337745600
2015-01-30,29.600000381469727,30.0,29.212499618530273,29.290000915527344,26.21868896484375,334982000
2015-02-02,29.512500762939453,29.792499542236328,29.020000457763672,29.657499313354492,26.547651290893555,250956400
2015-02-03,29.625,29.772499084472656,29.40250015258789,29.662500381469727,26.55213165283203,207662800
2015-02-04,29.625,30.127500534057617,29.577499389648438,29.889999389648438,26.75577163696289,280598800
2015-02-05,30.0049991607666,30.0575008392334,29.8125,29.985000610351562,26.94674301147461,168984800
2015-02-06,30.0049991607666,30.0625,29.612499237060547,29.732500076293945,26.719823837280273,174826400
2015-02-09,29.637500762939453,29.959999084472656,29.607500076293945,29.93000030517578,26.897315979003906,155559200
2015-02-10,30.042499542236328,30.537500381469727,30.040000915527344,30.5049991607666,27.41405487060547,248034000
2015-02-11,30.6924991607666,31.229999542236328,30.625,31.219999313354492,28.056602478027344,294247200
2015-02-12,31.514999389648438,31.8700008392334,31.392499923706055,31.614999771118164,28.411582946777344,297898000
2015-02-13,31.81999969482422,31.81999969482422,31.412500381469727,31.770000457763672,28.550870895385742,217088800
2015-02-17,31.872499465942383,32.220001220703125,31.729999542236328,31.957500457763672,28.71937370300293,252609600
2015-02-18,31.907499313354492,32.19499969482422,31.862499237060547,32.18000030517578,28.919334411621094,179566800
2015-02-19,32.119998931884766,32.25749969482422,32.08250045776367,32.11249923706055,28.858665466308594,149449600
2015-02-20,32.154998779296875,32.375,32.01250076293945,32.375,29.094573974609375,195793600
2015-02-23,32.505001068115234,33.25,32.415000915527344,33.25,29.880910873413086,283896400
2015-02-24,33.23500061035156,33.400001525878906,32.79249954223633,33.04249954223633,29.69444465637207,276912400
2015-02-25,32.88999938964844,32.900001525878906,32.037498474121094,32.1974983215332,28.935054779052734,298846800
2015-02-26,32.1974983215332,32.717498779296875,31.65250015258789,32.60499954223633,29.301265716552734,365150000
2015-02-27,32.5,32.64250183105469,32.060001373291016,32.1150016784668,28.86091423034668,248059200
2015-03-02,32.3125,32.56999969482422,32.07500076293945,32.272499084472656,29.00245475769043,192386800
2015-03-03,32.2400016784668,32.380001068115234,32.022499084472656,32.34000015258789,29.063114166259766,151265200
2015-03-04,32.275001525878906,32.38999938964844,32.08000183105469,32.1349983215332,28.878890991210938,126665200
2015-03-05,32.14500045776367,32.1875,31.440000534057617,31.602500915527344,28.40034294128418,226068400
2015-03-06,32.099998474121094,32.342498779296875,31.565000534057617,31.649999618530273,28.443035125732422,291368400
2015-03-09,31.989999771118164,32.39250183105469,31.264999389648438,31.78499984741211,28.56435203552246,354114000
2015-03-10,31.602500915527344,31.80500030517578,30.950000762939453,31.127500534057617,27.97347640991211,275426400
